UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
garychen  1409  1123  1489  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
garychen  1410  1123  1410  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1477  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1478  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1495  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1496  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1510  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1514  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1524  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1410  1123  1629  0    9 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
garychen  1414  1123  1414  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
garychen  1414  1123  1420  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
garychen  1414  1123  1432  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
garychen  1414  1123  1438  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
garychen  1424  1123  1424  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
garychen  1424  1123  1435  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
garychen  1424  1123  1436  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
garychen  1424  1123  1439  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
garychen  1425  1123  1425  0    4 18:21 ?        00:00:01 /usr/lib/unity-settings-daemon/unity-settings-daemon
garychen  1425  1123  1481  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
garychen  1425  1123  1490  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
garychen  1425  1123  1504  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
garychen  1426  1123  1426  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
garychen  1426  1123  1467  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
garychen  1426  1123  1484  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
garychen  1427  1123  1427  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
garychen  1427  1123  1429  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
garychen  1427  1123  1437  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
garychen  1427  1123  1475  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
garychen  1431  1123  1431  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
garychen  1431  1123  1433  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
garychen  1431  1123  1454  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
garychen  1431  1123  1457  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
garychen  1453  1123  1453  0    4 18:21 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
garychen  1453  1123  1517  0    4 18:21 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
garychen  1453  1123  1518  0    4 18:21 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
garychen  1453  1123  1584  0    4 18:21 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
garychen  1465  1123  1465  0    3 18:21 ?        00:00:00 /usr/lib/dconf/dconf-service
garychen  1465  1123  1491  0    3 18:21 ?        00:00:00 /usr/lib/dconf/dconf-service
garychen  1465  1123  1492  0    3 18:21 ?        00:00:00 /usr/lib/dconf/dconf-service
garychen  1499  1123  1499  0    3 18:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
garychen  1499  1123  1531  0    3 18:21 ?        00:00:01 /usr/bin/pulseaudio --start --log-target=syslog
garychen  1499  1123  1532  0    3 18:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
garychen  1525  1123  1525  0    4 18:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
garychen  1525  1123  1546  0    4 18:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
garychen  1525  1123  1547  0    4 18:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
garychen  1525  1123  1551  0    4 18:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
garychen  1530  1123  1530  0    2 18:21 ?        00:00:00 /usr/bin/python3 /usr/bin/libertined --cache-output
garychen  1530  1123  1625  0    2 18:21 ?        00:00:00 /usr/bin/python3 /usr/bin/libertined --cache-output
root      1539     1  1539  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-greeter-session-broadcast/unity-greeter-session-broadcast-service
root      1539     1  1548  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-greeter-session-broadcast/unity-greeter-session-broadcast-service
root      1539     1  1554  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-greeter-session-broadcast/unity-greeter-session-broadcast-service
garychen  1562  1123  1562 18    5 18:21 ?        00:30:58 /usr/bin/compiz
garychen  1562  1123  1570  0    5 18:21 ?        00:00:00 /usr/bin/compiz
garychen  1562  1123  1577  0    5 18:21 ?        00:00:00 /usr/bin/compiz
garychen  1562  1123  1578  0    5 18:21 ?        00:00:00 /usr/bin/compiz
garychen  1562  1123  1945  0    5 18:21 ?        00:00:00 /usr/bin/compiz
garychen  1572  1123  1572  0    4 18:21 ?        00:00:01 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
garychen  1572  1123  1580  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
garychen  1572  1123  1581  0    4 18:21 ?        00:00:01 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
garychen  1572  1123  1582  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
garychen  1597  1453  1597  0    4 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
garychen  1597  1453  1605  0    4 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
garychen  1597  1453  1606  0    4 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
garychen  1597  1453  1608  0    4 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
garychen  1613  1597  1613  0    1 18:21 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
garychen  1620  1123  1620  0    3 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
garychen  1620  1123  1623  0    3 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
garychen  1620  1123  1624  0    3 18:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
garychen  1630  1123  1630  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
garychen  1630  1123  1660  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
garychen  1630  1123  1661  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
garychen  1630  1123  1685  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
garychen  1630  1123  1686  0    5 18:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
garychen  1635  1453  1635  0    5 18:21 ?        00:00:08 nautilus -n
garychen  1635  1453  1732  0    5 18:21 ?        00:00:00 nautilus -n
garychen  1635  1453  1733  0    5 18:21 ?        00:00:00 nautilus -n
garychen  1635  1453  1785  0    5 18:21 ?        00:00:00 nautilus -n
garychen  1635  1453  2023  0    5 18:22 ?        00:00:00 nautilus -n
garychen  1637  1453  1637  0    4 18:21 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
garychen  1637  1453  1712  0    4 18:21 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
garychen  1637  1453  1713  0    4 18:21 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
garychen  1637  1453  1715  0    4 18:21 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
garychen  1654  1453  1654  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
garychen  1654  1453  1727  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
garychen  1654  1453  1728  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
garychen  1654  1453  1731  0    4 18:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
garychen  1663  1453  1663  0    4 18:21 ?        00:00:01 /usr/bin/gnome-software --gapplication-service
garychen  1663  1453  1767  0    4 18:21 ?        00:00:00 /usr/bin/gnome-software --gapplication-service
garychen  1663  1453  1768  0    4 18:21 ?        00:00:00 /usr/bin/gnome-software --gapplication-service
garychen  1663  1453  1792  0    4 18:21 ?        00:00:00 /usr/bin/gnome-software --gapplication-service
